Aikaleima,Katsojia keskimäärin,Live-katsojat,Uudet seuraajat,Chattaajat,Chattiviestit,Mainoskatkot,Uudet tilaukset,Luotuja leikkeitä,Leikkeen katselukerrat
17.12,0,3,0,1,1,180,0,0,0
17.13,3,4,0,2,2,0,0,0,0
17.14,6,0,0,2,2,0,0,0,0
17.15,4,3,0,1,1,0,0,0,0
17.16,7,1,0,2,3,0,0,0,0
17.17,7,1,0,3,4,0,0,0,0
17.18,7,1,0,2,2,0,0,0,0
17.19,7,0,0,2,2,0,0,0,0
17.20,7,0,0,3,4,0,0,0,0
17.21,7,0,0,1,1,0,0,0,0
17.22,7,0,0,0,0,0,0,0,0
17.23,7,0,0,1,1,0,0,0,0
17.24,5,1,0,2,2,0,0,0,0
17.25,8,3,0,1,5,0,0,0,0
17.26,9,1,0,3,4,0,0,0,0
17.27,7,2,0,2,3,0,0,0,0
17.28,11,0,0,5,6,0,0,0,0
17.29,8,0,0,3,6,0,0,0,0
17.30,8,0,0,1,1,0,0,0,0
17.31,8,0,0,4,13,0,0,0,0
17.32,8,0,0,3,7,0,0,0,0
17.33,9,1,0,5,5,0,0,0,0
17.34,8,0,0,1,1,0,0,0,0
17.35,8,0,0,2,2,0,0,0,0
17.36,8,0,0,4,11,0,0,0,0
17.37,8,1,0,0,0,0,0,0,0
17.38,9,1,0,4,4,0,0,1,0
17.39,8,0,0,1,1,0,0,0,0
17.40,9,2,0,1,1,0,0,0,1
17.41,9,0,0,1,1,0,0,0,0
17.42,7,0,0,1,1,0,0,0,0
17.43,7,0,0,1,1,0,0,0,0
17.44,7,0,0,1,1,0,0,0,0
17.45,7,0,0,0,0,0,0,0,0
17.46,5,0,0,3,4,0,0,0,0
17.47,6,1,0,2,3,0,0,0,0
17.48,7,1,0,0,0,0,0,0,0
17.49,8,2,0,0,0,0,0,0,0
17.50,7,0,0,2,2,0,0,0,0
17.51,5,0,0,2,2,0,0,0,0
17.52,6,0,0,1,3,0,0,0,0
17.53,5,0,0,0,0,0,0,0,0
17.54,5,1,0,1,1,0,0,0,0
17.55,6,0,0,1,1,0,0,0,0
17.56,6,0,0,0,0,0,0,0,0
17.57,5,0,0,1,1,0,0,0,0
17.58,5,0,0,1,1,0,0,0,0
17.59,6,1,0,0,0,0,0,0,0
18.00,6,0,0,0,0,0,0,0,0
18.01,5,0,0,1,1,0,0,0,0
18.02,6,0,0,2,3,0,0,0,0
18.03,5,0,0,1,1,0,0,0,0
18.04,6,0,0,0,0,0,0,0,0
18.05,5,0,0,0,0,0,0,0,0
18.06,5,0,0,1,1,0,0,0,0
18.07,6,0,0,2,2,0,0,0,0
18.08,6,2,0,3,3,0,0,0,0
18.09,5,0,0,1,1,0,0,0,0
18.10,6,1,0,1,3,0,0,0,0
18.11,7,0,0,1,2,0,0,0,0
18.12,7,1,0,1,1,0,0,0,0
18.13,5,1,0,1,2,0,0,0,0
18.14,3,1,0,1,1,0,0,0,0
18.15,5,0,0,1,1,0,0,0,0
18.16,6,1,0,2,2,0,0,0,0
18.17,6,2,0,1,1,0,0,0,0
18.18,4,1,0,1,1,0,0,0,0
18.19,6,1,0,1,1,0,0,0,0
18.20,5,0,0,0,0,0,0,0,0
18.21,6,1,0,2,2,0,0,0,0
18.22,6,1,0,0,0,0,0,0,0
18.23,7,0,0,0,0,0,0,0,0
18.24,7,0,0,0,0,0,0,0,0
18.25,6,0,0,0,0,0,0,0,0
18.26,5,1,0,0,0,0,0,0,0
18.27,6,0,0,1,2,0,0,0,0
18.28,5,1,0,1,3,0,0,0,0
18.29,7,1,0,0,0,0,0,0,0
18.30,5,0,0,0,0,0,0,0,0
18.31,5,1,0,0,0,0,0,0,0
18.32,5,0,0,1,2,0,0,0,0
18.33,5,0,0,0,0,0,0,0,0
18.34,5,0,0,0,0,0,0,0,0
18.35,4,0,0,0,0,0,0,0,0
18.36,5,1,0,1,1,0,0,0,0
18.37,5,0,0,0,0,0,0,0,0
18.38,5,0,0,0,0,0,0,0,0
18.39,4,0,0,0,0,0,0,0,0
18.40,4,0,0,0,0,0,0,0,0
18.41,4,0,0,0,0,0,0,0,0
18.42,4,0,0,0,0,0,0,0,0
18.43,4,0,0,0,0,0,0,0,0
18.44,4,2,0,0,0,0,0,0,0
18.45,4,0,0,0,0,0,0,0,0
18.46,4,1,0,1,1,0,0,0,0
18.47,6,1,0,1,1,0,0,0,0
18.48,6,0,0,1,1,0,0,0,0
18.49,5,0,0,0,0,0,0,0,0
18.50,5,0,0,0,0,0,0,0,0
18.51,4,0,0,0,0,0,0,0,0
18.52,5,0,0,0,0,0,0,0,0
18.53,4,1,0,0,0,0,0,0,0
18.54,5,1,0,0,0,0,0,0,0
18.55,6,2,0,1,1,0,0,0,0
18.56,6,1,0,2,2,0,0,0,0
18.57,5,1,0,1,2,0,0,0,0
18.58,8,1,0,1,3,0,0,0,0
18.59,7,0,0,1,3,0,0,0,0
19.00,8,0,0,2,2,0,0,0,0
19.01,6,0,0,2,3,0,0,0,0
19.02,8,2,0,2,4,0,0,0,0
19.03,8,1,0,1,1,0,0,0,0
19.04,6,0,0,0,0,0,0,0,0
19.05,6,0,0,1,1,0,0,0,0
19.06,6,0,0,2,2,0,0,0,0
19.07,7,2,0,2,3,0,0,0,0
19.08,7,1,0,2,2,0,0,0,0
19.09,6,0,0,1,1,0,0,0,0
19.10,6,0,0,1,2,0,0,0,0
19.11,5,1,0,2,2,0,0,0,0
19.12,5,1,0,0,0,0,0,0,0
19.13,6,0,0,1,2,0,0,0,0
19.14,5,1,0,0,0,0,0,0,0
19.15,5,1,0,1,1,0,0,0,0
19.16,7,1,0,2,4,0,0,0,0
19.17,6,0,0,2,5,0,0,0,0
19.18,5,2,0,1,6,0,0,0,0
19.19,7,0,0,2,2,0,0,0,0
19.20,5,0,0,2,4,0,0,0,0
19.21,6,0,0,2,2,0,0,0,0
19.22,5,0,0,1,1,0,0,0,0
19.23,5,0,0,1,1,0,0,0,0
19.24,6,0,0,2,2,0,0,0,0
19.25,5,0,0,0,0,0,0,0,0
19.26,5,1,0,0,0,0,0,0,0
19.27,7,0,0,0,0,0,0,0,0
19.28,5,0,0,0,0,0,0,0,0
19.29,5,1,0,0,0,0,0,0,0
19.30,7,1,0,0,0,0,0,0,0
19.31,5,2,0,2,2,0,0,0,0
19.32,7,0,0,2,2,0,0,0,0
19.33,5,2,0,2,3,0,0,0,0
19.34,7,0,0,0,0,0,0,0,0
19.35,6,0,0,2,3,0,0,0,0
19.36,6,1,0,1,1,0,0,0,0
19.37,7,1,0,2,3,0,0,0,0
19.38,8,2,0,2,2,0,0,0,0
19.39,7,0,0,2,3,0,0,0,0
19.40,7,2,0,2,3,0,0,0,0
19.41,6,0,0,0,0,0,0,0,0
19.42,7,0,0,4,8,0,0,0,0
19.43,7,1,0,2,3,0,0,0,0
19.44,9,0,0,1,1,0,0,0,0
19.45,8,0,0,2,2,0,0,0,0
19.46,8,1,0,1,1,0,0,0,0
19.47,7,0,0,2,2,0,0,0,0
19.48,7,1,0,1,1,0,0,0,0
19.49,7,1,0,1,1,0,0,0,0
19.50,7,0,0,1,1,0,0,0,0
19.51,5,1,0,1,1,0,0,0,0
19.52,6,1,0,0,0,0,0,0,0
19.53,5,0,0,0,0,0,0,0,0
19.54,4,0,0,0,0,0,0,0,0
19.55,4,0,0,1,1,0,0,0,0
19.56,5,0,0,1,1,0,0,0,0
19.57,4,0,0,0,0,0,0,0,0
19.58,4,0,0,0,0,0,0,0,0
19.59,4,0,0,0,0,0,0,0,0
20.00,5,0,0,1,1,0,0,0,0
20.01,4,0,0,0,0,0,0,0,0
20.02,4,0,0,1,1,0,0,0,0
20.03,4,1,0,0,0,0,0,0,0
20.04,5,0,0,1,1,0,0,0,0
20.05,6,0,0,0,0,0,0,0,0
20.06,5,0,0,0,0,0,0,0,0
20.07,5,0,0,2,2,0,0,0,0
20.08,5,0,0,0,0,0,0,0,0
20.09,5,0,0,0,0,0,0,0,0
20.10,8,0,0,1,2,0,0,0,0
20.11,5,1,0,0,0,0,0,0,0
20.12,6,1,0,1,1,0,0,0,0
20.13,5,1,0,0,0,0,0,0,0
20.14,5,0,0,0,0,0,0,0,0
20.15,5,0,0,0,0,0,0,0,0
20.16,4,0,0,1,1,0,0,0,0
20.17,4,1,1,0,0,0,0,0,0
20.18,5,0,0,0,0,0,0,0,0
20.19,4,0,0,0,0,0,0,0,0
20.20,4,0,0,0,0,0,0,0,0
20.21,4,0,0,0,0,0,0,0,0
20.22,4,1,0,0,0,0,0,0,0
20.23,4,0,0,0,0,0,0,0,0
20.24,4,0,0,1,1,0,0,0,0
20.25,5,1,0,1,1,0,0,0,0
20.26,5,0,0,0,0,0,0,0,0
20.27,4,0,0,0,0,0,0,0,0
20.28,3,1,0,0,0,0,0,0,0
20.29,5,0,0,0,0,0,0,0,0
20.30,3,0,0,0,0,0,0,0,0
20.31,3,1,0,0,0,0,0,0,0
20.32,4,0,0,0,0,0,0,0,0
20.33,4,0,0,0,0,0,0,0,0
20.34,4,0,0,0,0,0,0,0,0
20.35,3,0,0,0,0,0,0,0,0
20.36,3,1,0,0,0,0,0,0,0
20.37,4,0,0,1,2,0,0,0,0
