Aikaleima,Katsojia keskimäärin,Live-katsojat,Uudet seuraajat,Chattaajat,Chattiviestit,Mainoskatkot,Uudet tilaukset,Luotuja leikkeitä,Leikkeen katselukerrat
17.17,5,5,0,3,3,0,0,0,1
17.18,7,0,0,0,0,0,0,0,0
17.19,5,0,0,1,1,0,0,0,0
17.20,5,0,0,1,1,0,0,0,0
17.21,4,3,0,1,3,0,0,0,0
17.22,9,2,0,0,0,0,0,0,0
17.23,7,4,0,1,3,0,0,0,0
17.24,6,3,0,1,2,0,0,0,0
17.25,7,0,0,1,1,0,0,0,0
17.26,4,1,0,0,0,0,0,0,0
17.27,5,0,0,0,0,0,0,0,0
17.28,3,1,0,1,1,0,0,0,0
17.29,4,1,0,0,0,0,0,0,0
17.30,6,1,0,3,6,0,0,1,0
17.31,6,0,0,1,1,0,0,0,0
17.32,6,0,0,1,1,0,0,0,0
17.33,6,1,0,0,0,0,0,0,0
17.34,8,1,0,1,1,0,0,0,0
17.35,7,2,0,2,2,0,0,0,0
17.36,9,2,0,2,2,0,0,0,0
17.37,5,2,0,2,2,0,0,0,0
17.38,6,1,0,1,1,0,0,0,0
17.39,6,0,0,1,1,0,0,0,0
17.40,7,2,0,1,1,0,0,0,0
17.41,7,0,0,2,2,0,0,0,0
17.42,6,1,0,1,1,0,0,0,0
17.43,6,1,0,1,2,0,0,0,0
17.44,7,2,0,2,2,0,0,0,0
17.45,9,0,0,2,3,0,0,0,0
17.46,6,1,0,2,2,0,0,0,0
17.47,6,0,0,2,2,0,0,0,0
17.48,6,0,0,1,3,0,0,0,0
17.49,6,0,0,1,1,0,0,0,0
17.50,6,1,0,0,0,0,0,0,0
17.51,7,0,0,2,3,0,0,0,0
17.52,7,0,0,4,6,0,0,0,0
17.53,6,1,0,2,3,0,0,0,0
17.54,7,0,0,2,2,0,0,0,0
17.55,7,1,0,1,1,0,0,0,0
17.56,7,0,1,2,3,0,0,0,0
17.57,8,2,0,1,1,0,0,0,0
17.58,8,1,0,3,3,0,0,0,0
17.59,8,0,0,1,1,0,0,0,0
18.00,7,1,0,0,0,0,0,0,0
18.01,7,0,0,1,2,0,0,0,0
18.02,5,0,0,0,0,0,0,0,0
18.03,6,2,0,1,1,0,0,0,0
18.04,7,0,0,0,0,0,0,0,0
18.05,7,0,0,0,0,0,0,0,0
18.06,5,0,0,0,0,0,0,0,0
18.07,6,1,0,3,3,0,0,0,0
18.08,6,2,0,1,1,0,0,0,0
18.09,9,1,0,1,1,0,0,0,0
18.10,7,1,0,1,1,0,0,0,0
18.11,8,0,0,2,3,0,0,0,0
18.12,8,0,0,1,1,0,0,0,0
18.13,6,2,0,1,1,0,0,0,0
18.14,7,0,0,1,2,0,0,0,0
18.15,8,0,0,3,3,0,0,0,0
18.16,6,1,0,1,1,0,0,0,0
18.17,8,1,0,2,3,0,0,0,0
18.18,6,0,0,1,1,0,0,0,0
18.19,7,0,0,0,0,0,0,0,0
18.20,6,1,0,2,2,0,0,0,0
