Aikaleima,Katsojia keskimäärin,Live-katsojat,Uudet seuraajat,Chattaajat,Chattiviestit,Mainoskatkot,Uudet tilaukset,Luotuja leikkeitä,Leikkeen katselukerrat
17.42,0,2,0,1,1,0,0,0,0
17.43,3,2,0,1,2,0,0,0,0
17.44,5,2,0,1,1,0,0,0,0
17.45,5,1,0,1,5,0,0,0,0
17.46,3,1,0,1,1,0,0,0,0
17.47,4,2,0,2,5,0,0,0,0
17.48,3,4,0,3,3,0,0,0,0
17.49,6,3,0,3,4,0,0,0,0
17.50,8,2,0,2,5,0,0,0,0
17.51,7,1,0,1,2,0,1,0,0
17.52,8,4,0,4,5,0,0,0,0
17.53,6,1,1,3,8,0,0,0,0
17.54,9,2,0,4,5,0,0,0,0
17.55,11,0,0,3,3,0,0,0,0
17.56,11,2,0,3,6,0,0,0,0
17.57,10,3,0,2,2,0,0,0,0
17.58,16,2,0,2,5,0,0,0,0
17.59,12,5,0,3,3,0,3,0,0
18.00,11,0,0,2,3,0,0,0,0
18.01,11,1,0,4,6,0,0,0,0
18.02,10,1,0,3,7,0,0,0,0
18.03,11,0,0,1,2,0,0,0,0
18.04,8,0,0,1,1,0,0,0,0
18.05,8,1,0,2,3,0,0,0,0
18.06,11,1,0,2,3,0,0,0,0
18.07,11,2,0,3,4,0,0,0,0
18.08,9,0,0,3,3,0,0,0,0
18.09,9,3,0,2,3,0,0,0,0
18.10,7,2,0,0,0,0,0,0,0
18.11,10,6,0,2,2,90,0,0,0
18.12,10,1,0,2,4,0,0,0,0
18.13,7,3,0,1,2,0,0,0,0
18.14,11,2,0,3,7,0,0,0,0
18.15,11,0,0,3,4,0,0,0,0
18.16,9,0,0,3,4,0,0,0,0
18.17,12,4,0,1,1,0,0,0,0
18.18,14,0,0,1,1,0,0,0,0
18.19,10,0,0,1,1,0,0,0,0
18.20,13,1,0,2,3,0,0,0,0
18.21,10,1,0,1,1,0,0,0,0
18.22,10,0,0,2,3,0,0,0,0
18.23,10,1,0,1,1,0,0,0,0
18.24,9,2,0,2,3,0,0,0,0
18.25,12,0,0,0,0,0,0,0,0
18.26,8,2,1,1,1,0,0,0,0
18.27,11,2,0,3,5,0,0,0,0
18.28,11,1,0,4,5,0,0,0,0
18.29,11,2,0,1,1,0,0,0,0
18.30,10,0,0,2,2,0,0,0,0
18.31,10,2,0,0,0,0,0,0,0
18.32,14,4,0,0,0,0,0,0,0
18.33,14,2,0,2,2,0,0,0,0
18.34,14,0,0,0,0,0,0,0,0
18.35,11,0,0,2,5,0,0,0,0
18.36,10,0,0,2,5,0,0,0,2
18.37,12,1,0,3,4,0,0,0,0
18.38,13,6,0,3,4,0,0,0,0
18.39,19,0,0,3,4,0,0,0,0
18.40,15,1,0,3,3,0,0,0,0
18.41,13,0,0,4,6,0,0,0,0
18.42,12,1,0,3,4,0,0,0,0
18.43,14,1,0,6,8,0,0,0,0
18.44,14,1,0,4,11,0,0,0,0
18.45,13,1,0,1,3,0,0,0,0
18.46,13,1,0,2,4,0,0,0,0
18.47,13,1,0,3,6,0,0,0,0
18.48,14,2,0,1,1,0,0,0,0
18.49,14,3,0,4,10,0,0,0,0
18.50,14,2,0,5,9,0,0,0,0
18.51,15,0,0,5,11,0,0,0,1
18.52,14,1,0,2,2,0,0,0,0
18.53,12,2,0,3,5,0,0,0,0
18.54,14,0,0,3,3,0,0,0,0
18.55,14,1,0,4,4,0,0,0,0
18.56,17,2,0,3,5,0,0,0,0
18.57,17,1,0,3,6,0,0,0,0
18.58,15,0,0,4,6,0,0,0,0
18.59,14,2,0,2,2,0,0,0,0
19.00,14,0,0,1,1,0,0,0,0
19.01,13,0,0,0,0,0,0,0,0
19.02,12,0,0,0,0,90,0,0,0
19.03,11,0,0,3,4,0,0,0,0
19.04,11,1,0,2,3,0,0,0,0
19.05,12,0,0,0,0,0,0,0,0
19.06,12,1,0,2,3,0,0,0,0
19.07,10,0,0,5,10,0,0,0,0
19.08,10,0,0,3,5,0,0,0,0
19.09,11,1,0,4,10,0,0,0,0
19.10,12,0,0,3,4,0,0,0,0
19.11,10,1,0,3,3,0,0,0,0
19.12,12,2,0,0,0,0,0,0,0
19.13,12,0,0,3,3,0,0,0,0
19.14,12,1,0,3,3,0,0,0,0
19.15,9,0,0,3,4,0,0,0,0
19.16,12,0,0,4,4,90,0,0,0
19.17,11,0,0,2,2,0,0,0,0
19.18,12,2,0,2,2,0,0,0,0
19.19,12,0,0,1,2,0,0,0,0
